City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,linares,-35.85,-71.6,21.7,48,1,2.65,CL,1698344165
148,general conesa,-40.1,-64.4333,30.07,11,8,9.42,AR,1698344165
149,namibe,-15.1961,12.1522,20.34,76,53,3.69,AO,1698344166
150,meadow lake,34.8014,-106.5436,19.28,44,0,3.47,US,1698344167
151,kerikeri,-35.2268,173.9474,16.62,90,71,3.86,NZ,1698344168
152,soure,-0.7167,-48.5233,30.77,56,35,6.17,BR,1698343905
153,barranca,-10.75,-77.7667,21.43,69,50,4.75,PE,1698344171
154,ixtapa,20.7,-105.2,30.68,55,20,2.24,MX,1698344172
155,amble,55.3333,-1.5833,11.42,100,100,10.29,GB,1698344173
156,petrove,48.3247,33.2562,14.0,71,61,3.09,UA,1698344174
157,batticaloa,7.7102,81.6924,26.62,77,60,1.41,LK,1698344175
158,dedenevo,56.25,37.5167,-0.73,75,100,4.47,RU,1698344176
159,xianyang,34.3378,108.7026,11.58,87,100,1.0,CN,1698344177
160,villa emilio carranza,19.9667,-96.6,30.02,67,72,5.98,MX,1698344178
161,vorkuta,67.5,64.0,-13.19,98,100,0.55,RU,1698344179
162,remire-montjoly,4.9167,-52.2667,34.02,52,20,6.69,GF,1698343943
163,dzilam gonzalez,21.2833,-88.9333,33.41,40,16,4.21,MX,1698344180
164,santa isabel,-23.3156,-46.2214,23.84,84,84,3.55,BR,1698344181
165,saipan,15.1355,145.701,27.39,94,40,1.54,MP,1698344181
166,shahritus,37.2637,68.1385,19.43,37,19,3.05,TJ,1698344182
167,aral,40.5156,81.2636,15.04,25,95,1.17,CN,1698344182
168,saldanha,-33.0117,17.9442,17.03,86,10,3.15,ZA,1698344183
169,hobyo,5.3505,48.5268,28.17,75,5,4.43,SO,1698344183
170,olyokminsk,60.3736,120.4264,-2.22,57,100,2.28,RU,1698344184
171,lagoa,39.05,-27.9833,18.18,63,100,8.32,PT,1698344185
172,opuwo,-18.0607,13.84,27.94,21,50,4.51,NA,1698344185
